src_name,src_if,dst_name,dst_if,speed
net105-lf-sw01,Ethernet11/4,net104-wk-sr08,eth100g1,100
net105-lf-sw01,Ethernet15/5,net104-wk-sr17,eth100g0,100
net105-lf-sw01,Ethernet15/6,net104-wk-sr17,eth100g1,100
net105-lf-sw01,Ethernet15/7,net104-wk-sr18,eth100g0,100
net105-lf-sw01,Ethernet15/8,net104-wk-sr18,eth100g1,100
net105-lf-sw01,Ethernet15/1,net104-wk-sr19,eth100g0,100
net105-lf-sw01,Ethernet15/2,net104-wk-sr19,eth100g1,100
net105-lf-sw01,Ethernet15/3,net104-wk-sr20,eth100g0,100
net105-lf-sw01,Ethernet15/4,net104-wk-sr20,eth100g1,100
net105-lf-sw01,Ethernet19/5,net104-wk-sr09,eth100g0,100
net105-lf-sw01,Ethernet19/6,net104-wk-sr09,eth100g1,100
net105-lf-sw01,Ethernet19/7,net104-wk-sr10,eth100g0,100
net105-lf-sw01,Ethernet19/8,net104-wk-sr10,eth100g1,100
net105-lf-sw01,Ethernet19/1,net104-wk-sr11,eth100g0,100
net105-lf-sw01,Ethernet19/2,net104-wk-sr11,eth100g1,100
net105-lf-sw01,Ethernet19/3,net104-wk-sr12,eth100g0,100
net105-lf-sw01,Ethernet19/4,net104-wk-sr12,eth100g1,100
net105-lf-sw01,Ethernet47/5,net104-wk-sr21,eth100g0,100
net105-lf-sw01,Ethernet47/6,net104-wk-sr21,eth100g1,100
net105-lf-sw01,Ethernet47/7,net104-wk-sr22,eth100g0,100
net105-lf-sw01,Ethernet47/8,net104-wk-sr22,eth100g1,100
net105-lf-sw01,Ethernet47/1,net104-wk-sr23,eth100g0,100
net105-lf-sw01,Ethernet47/2,net104-wk-sr23,eth100g1,100
net105-lf-sw01,Ethernet47/3,net104-wk-sr24,eth100g0,100
net105-lf-sw01,Ethernet47/4,net104-wk-sr24,eth100g1,100
net105-lf-sw01,Ethernet55/5,net104-wk-sr25,eth100g0,100
net105-lf-sw01,Ethernet55/6,net104-wk-sr25,eth100g1,100
net105-lf-sw01,Ethernet55/7,net104-wk-sr26,eth100g0,100
net105-lf-sw01,Ethernet55/8,net104-wk-sr26,eth100g1,100
net105-lf-sw01,Ethernet55/1,net104-wk-sr27,eth100g0,100
net105-lf-sw01,Ethernet55/2,net104-wk-sr27,eth100g1,100
net105-lf-sw01,Ethernet55/3,net104-wk-sr28,eth100g0,100
net105-lf-sw01,Ethernet55/4,net104-wk-sr28,eth100g1,100
net105-lf-sw01,Ethernet59/5,net104-ps-pp02,mpo7-0,100
net105-lf-sw01,Ethernet59/6,net104-ps-pp02,mpo7-1,100
net105-lf-sw01,Ethernet59/7,net104-ps-pp02,mpo7-2,100
net105-lf-sw01,Ethernet59/8,net104-ps-pp02,mpo7-3,100
net105-lf-sw01,Ethernet59/1,net104-ps-pp02,mpo8-0,100
net105-lf-sw01,Ethernet59/2,net104-ps-pp02,mpo8-1,100
net105-lf-sw01,Ethernet59/3,net104-ps-pp02,mpo8-2,100
net105-lf-sw01,Ethernet59/4,net104-ps-pp02,mpo8-3,100
net105-lf-sw01,Ethernet63/5,net104-wk-sr29,eth100g0,100
net105-lf-sw01,Ethernet63/6,net104-wk-sr29,eth100g1,100
net105-lf-sw01,Ethernet63/7,net104-wk-sr30,eth100g0,100
net105-lf-sw01,Ethernet63/8,net104-wk-sr30,eth100g1,100
net105-lf-sw01,Ethernet63/1,net104-wk-sr31,eth100g0,100
net105-lf-sw01,Ethernet63/2,net104-wk-sr31,eth100g1,100
net105-lf-sw01,Ethernet63/3,net104-wk-sr32,eth100g0,100
net105-lf-sw01,Ethernet63/4,net104-wk-sr32,eth100g1,100
